钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0x3332dA4299E5aaA916Fb0033fF539e492eE4DFa2,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x354609721aCE9C92aB36f982cf392CFD88304091,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x38C4fa2c3335132A6c5d43187De86696298b3D3E,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x3975ec759360D8AA7B8039ecA8eF8713EBFde77E,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x398F11292cA8C55a0cB780B331Bb9AB736953d4f,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x3b9625D1755364285Dc09D67e06A3A7D2e72042a,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,2,0,0.00,0.00,0,正常
0x404Fe5a16e5eD1bB8f0Ce8e49763208dB1F443AE,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x4126a071fE3432195712061Be13F3948E079fe4C,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,3,0,0.00,0.00,0,正常
0x416b4f444f563DF5db20532471532FC72857141a,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x49C264bBe7291fdA78dBEc2565803f1c2472D5B5,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x0E7083f4286ccA68f6EC0Af8342325017AC41abc,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,6,0,0.00,0.00,0,正常
0x4ddA15CB87F3eDfD7b43C6a46de9cfcF32eeC818,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x9aD72FA3E5AB429DceB63Ea7C1A5292E389FD01b,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x53e4E3cB998a0889Fea692e5cCe761A2e61Da5cf,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xa266658Ca49afD1FA7540e36b01a71D3cDcd2373,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x1A7888C66217a0C07a827B040FF0F683d77D20C1,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
